"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Sodium-dependent dopamine transporter","SLC6A3","Q01959","CHEMBL238","Electrochemical transporter","1.0","46 /  579   "
"Sodium-dependent serotonin transporter","SLC6A4","P31645","CHEMBL228","Electrochemical transporter","1.0","97 /  681   "
"5-hydroxytryptamine receptor 2C","HTR2C","P28335","CHEMBL225","Family A G protein-coupled receptor","1.0","80 /  93   "
"Sodium-dependent noradrenaline transporter","SLC6A2","P23975","CHEMBL222","Electrochemical transporter","1.0","56 /  457   "
"Substance-K receptor","TACR2","P21452","CHEMBL2327","Family A G protein-coupled receptor","1.0","10 /  7   "
"Beta-3 adrenergic receptor","ADRB3","P13945","CHEMBL246","Family A G protein-coupled receptor","1.0","174 /  11   "
"HSP60/HSP10","N/A","P10809&P61604","CHEMBL4106131","Unclassified protein","1.0","12 /  4   "
"Adenosine receptor A3","ADORA3","P0DMS8","CHEMBL256","Family A G protein-coupled receptor","1.0","126 /  6   "
"Alpha-2A adrenergic receptor","ADRA2A","P08913","CHEMBL1867","Family A G protein-coupled receptor","1.0","39 /  32   "
"Sex hormone-binding globulin","SHBG","P04278","CHEMBL3305","Secreted protein","1.0","21 /  21   "
"Estrogen receptor","ESR1","P03372","CHEMBL206","Nuclear receptor","1.0","2042 /  393   "
"Prostaglandin G/H synthase 2","PTGS2","P35354","CHEMBL230","Oxidoreductase","0.9838835668357798","245 /  65   "
"Muscarinic acetylcholine receptor M3","CHRM3","P20309","CHEMBL245","Family A G protein-coupled receptor","0.9838835668357798","30 /  67   "
"Alpha-2C adrenergic receptor","ADRA2C","P18825","CHEMBL1916","Family A G protein-coupled receptor","0.9838835668357798","22 /  19   "
"Alpha-2B adrenergic receptor","ADRA2B","P18089","CHEMBL1942","Family A G protein-coupled receptor","0.9838835668357798","19 /  21   "
"Muscarinic acetylcholine receptor M1","CHRM1","P11229","CHEMBL216","Family A G protein-coupled receptor","0.9838835668357798","16 /  67   "
"Muscarinic acetylcholine receptor M2","CHRM2","P08172","CHEMBL211","Family A G protein-coupled receptor","0.9838835668357798","11 /  59   "
"Estrogen receptor beta","ESR2","Q92731","CHEMBL242","Nuclear receptor","0.9778927997250311","1188 /  288   "
"Acetylcholinesterase","ACHE","P22303","CHEMBL220","Hydrolase","0.9641317154257601","373 /  114   "
"Polyunsaturated fatty acid 5-lipoxygenase","ALOX5","P09917","CHEMBL215","Oxidoreductase","0.899554993452751","467 /  152   "
"17-beta-hydroxysteroid dehydrogenase type 1","HSD17B1","P14061","CHEMBL3181","Oxidoreductase","0.8884652339510473","400 /  68   "
"Aromatase","CYP19A1","P11511","CHEMBL1978","Cytochrome P450","0.8842849844847793","282 /  177   "
"17-beta-hydroxysteroid dehydrogenase type 2","HSD17B2","P37059","CHEMBL2789","Oxidoreductase","0.8549804843311848","352 /  22   "
"Polyunsaturated fatty acid lipoxygenase ALOX15","ALOX15","P16050","CHEMBL2903","Oxidoreductase","0.8409409704112398","61 /  31   "
"Polyunsaturated fatty acid lipoxygenase ALOX12","ALOX12","P18054","CHEMBL3687","Enzyme","0.8258191735323022","83 /  15   "
"Transthyretin","TTR","P02766","CHEMBL3194","Secreted protein","0.8135526066957536","38 /  6   "
"Transient receptor potential cation channel subfamily A member 1","TRPA1","O75762","CHEMBL6007","Voltage-gated ion channel","0.7998011992359411","12 /  31   "
"Leukotriene B4 receptor 1","LTB4R","Q15722","CHEMBL3911","Family A G protein-coupled receptor","0.7870477099952089","66 /  8   "
"Insulin-like growth factor 1 receptor","IGF1R","P08069","CHEMBL1957","Kinase","0.7597952891862693","49 /  14   "
"Tyrosinase","TYR","P14679","CHEMBL1973","Oxidoreductase","0.7438975943545674","49 /  26   "
"17-beta-hydroxysteroid dehydrogenase type 3","HSD17B3","P37058","CHEMBL4234","Oxidoreductase","0.7148041931689606","80 /  13   "
"Alpha-synuclein","SNCA","P37840","CHEMBL6152","Unclassified protein","0.6280162673893732","19 /  5   "
"Transcription factor AP1","N/A","P05412&P01100","CHEMBL2111421","Transcription factor","0.6182685972237766","2 /  3   "
"Tyrosine-protein kinase Fyn","FYN","P06241","CHEMBL1841","Kinase","0.5331968682338809","180 /  9   "
"Receptor-interacting serine/threonine-protein kinase 1","RIPK1","Q13546","CHEMBL5464","Kinase","0.4920519832619903","27 /  2   "
"Androgen receptor","AR","P10275","CHEMBL1871","Nuclear receptor","0.457096421447634","229 /  58   "
"Histone deacetylase 8","HDAC8","Q9BY41","CHEMBL3192","Eraser","0.44978493309060436","111 /  45   "
"Glucocorticoid receptor","NR3C1","P04150","CHEMBL2034","Nuclear receptor","0.4118675822015895","204 /  89   "
"Steryl-sulfatase","STS","P08842","CHEMBL3559","Hydrolase","0.4106364719167512","106 /  126   "
"Cannabinoid receptor 1","CNR1","P21554","CHEMBL218","Family A G protein-coupled receptor","0.40912580237648616","422 /  175   "
"Histone deacetylase 2","HDAC2","Q92769","CHEMBL1937","Eraser","0.38552383269242774","96 /  14   "
"Steroid hormone receptor ERR1","ESRRA","P11474","CHEMBL3429","Nuclear receptor","0.38209235721229845","44 /  14   "
"5-hydroxytryptamine receptor 2B","HTR2B","P41595","CHEMBL1833","Family A G protein-coupled receptor","0.37993986908542554","90 /  60   "
"Cytochrome P450 1B1","CYP1B1","Q16678","CHEMBL4878","Cytochrome P450","0.37598608913796727","59 /  13   "
