#node1,node2,node1_string_id,node2_string_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
ABCG2,KDR,9606.ENSP00000498246,9606.ENSP00000263923,0,0,0,0,0.094,0.057,0,0.474,0.511
ABCG2,KIT,9606.ENSP00000498246,9606.ENSP00000288135,0,0,0,0,0.111,0.045,0,0.583,0.615
ABCG2,MET,9606.ENSP00000498246,9606.ENSP00000317272,0,0,0,0,0.062,0.044,0,0.479,0.492
ABCG2,GSK3B,9606.ENSP00000498246,9606.ENSP00000324806,0,0,0,0,0.055,0.044,0,0.402,0.413
ABCG2,MMP9,9606.ENSP00000498246,9606.ENSP00000361405,0,0,0,0,0,0,0,0.438,0.438
ABCG2,SRC,9606.ENSP00000498246,9606.ENSP00000362680,0,0,0,0,0.055,0.044,0,0.427,0.437
ABCG2,XDH,9606.ENSP00000498246,9606.ENSP00000368727,0,0,0,0,0.042,0.064,0,0.412,0.427
ABCG2,BCL2,9606.ENSP00000498246,9606.ENSP00000381185,0,0,0,0,0.055,0,0,0.597,0.603
ABCG2,ESR1,9606.ENSP00000498246,9606.ENSP00000405330,0,0,0,0,0.087,0.053,0,0.524,0.552
ABCG2,CYP1B1,9606.ENSP00000498246,9606.ENSP00000478561,0,0,0,0,0.067,0.066,0,0.429,0.459
AKR1B1,GSK3B,9606.ENSP00000285930,9606.ENSP00000324806,0,0,0,0,0.044,0.162,0,0.311,0.4
AKR1B1,XDH,9606.ENSP00000285930,9606.ENSP00000368727,0,0,0,0,0,0,0,0.419,0.419
AKR1B1,PTGS2,9606.ENSP00000285930,9606.ENSP00000356438,0,0,0,0,0,0,0,0.438,0.438
BCL2,MMP2,9606.ENSP00000381185,9606.ENSP00000219070,0,0,0,0,0,0,0,0.716,0.716
BCL2,SERPINE1,9606.ENSP00000381185,9606.ENSP00000223095,0,0,0,0,0,0,0,0.448,0.448
BCL2,FLT3,9606.ENSP00000381185,9606.ENSP00000241453,0,0,0,0,0.067,0,0,0.597,0.607
BCL2,MMP13,9606.ENSP00000381185,9606.ENSP00000260302,0,0,0,0,0,0,0,0.494,0.494
BCL2,KDR,9606.ENSP00000381185,9606.ENSP00000263923,0,0,0,0,0.044,0,0,0.608,0.609
BCL2,PIK3CA,9606.ENSP00000381185,9606.ENSP00000263967,0,0,0,0,0.095,0,0,0.587,0.61
BCL2,KIT,9606.ENSP00000381185,9606.ENSP00000288135,0,0,0,0,0.049,0,0,0.704,0.707
BCL2,PLK1,9606.ENSP00000381185,9606.ENSP00000300093,0,0,0,0,0,0,0,0.507,0.507
BCL2,TERT,9606.ENSP00000381185,9606.ENSP00000309572,0,0,0,0,0,0,0,0.586,0.586
BCL2,MET,9606.ENSP00000381185,9606.ENSP00000317272,0,0,0,0,0,0,0,0.6,0.6
BCL2,MMP1,9606.ENSP00000381185,9606.ENSP00000322788,0,0,0,0,0,0,0,0.447,0.447
BCL2,GSK3B,9606.ENSP00000381185,9606.ENSP00000324806,0,0,0,0,0.049,0,0,0.729,0.731
BCL2,ESR2,9606.ENSP00000381185,9606.ENSP00000343925,0,0,0,0,0.056,0.045,0,0.591,0.599
BCL2,FYN,9606.ENSP00000381185,9606.ENSP00000346671,0,0,0,0,0.072,0,0,0.409,0.428
BCL2,DNMT1,9606.ENSP00000381185,9606.ENSP00000352516,0,0,0,0,0.044,0,0,0.57,0.571
BCL2,MTOR,9606.ENSP00000381185,9606.ENSP00000354558,0,0,0,0,0,0,0,0.765,0.765
BCL2,PTGS1,9606.ENSP00000381185,9606.ENSP00000354612,0,0,0,0,0,0,0,0.517,0.517
BCL2,PTGS2,9606.ENSP00000381185,9606.ENSP00000356438,0,0,0,0,0,0,0,0.745,0.745
BCL2,MMP9,9606.ENSP00000381185,9606.ENSP00000361405,0,0,0,0,0.087,0,0,0.794,0.804
BCL2,SRC,9606.ENSP00000381185,9606.ENSP00000362680,0,0,0,0,0.067,0,0,0.856,0.86
BCL2,XDH,9606.ENSP00000381185,9606.ENSP00000368727,0,0,0,0,0.053,0,0,0.487,0.494
BCL2,CYP19A1,9606.ENSP00000381185,9606.ENSP00000379683,0,0,0,0,0.055,0,0,0.517,0.524
BCL2,IDO1,9606.ENSP00000381185,9606.ENSP00000430950,0,0,0,0,0.07,0,0,0.4,0.418
BCL2,FGFR1,9606.ENSP00000381185,9606.ENSP00000393312,0,0,0,0,0,0,0,0.45,0.45
BCL2,ESR1,9606.ENSP00000381185,9606.ENSP00000405330,0,0,0,0,0.083,0.045,0.5,0.794,0.897
CA2,MMP9,9606.ENSP00000285379,9606.ENSP00000361405,0,0,0,0,0.056,0,0,0.445,0.454
CA2,CYP19A1,9606.ENSP00000285379,9606.ENSP00000379683,0,0,0,0,0.088,0,0,0.464,0.49
CA2,SRC,9606.ENSP00000285379,9606.ENSP00000362680,0,0,0,0,0.056,0.059,0,0.539,0.555
CYP19A1,HSD17B1,9606.ENSP00000379683,9606.ENSP00000225929,0,0,0,0,0.106,0,0.911,0.821,0.984
CYP19A1,PIK3CA,9606.ENSP00000379683,9606.ENSP00000263967,0,0,0,0,0,0,0,0.517,0.517
CYP19A1,ESR2,9606.ENSP00000379683,9606.ENSP00000343925,0,0,0,0,0.048,0.056,0,0.923,0.925
CYP19A1,MTOR,9606.ENSP00000379683,9606.ENSP00000354558,0,0,0,0,0,0,0,0.507,0.507
CYP19A1,PTGS2,9606.ENSP00000379683,9606.ENSP00000356438,0,0,0,0,0.067,0,0,0.586,0.597
CYP19A1,SRC,9606.ENSP00000379683,9606.ENSP00000362680,0,0,0,0,0.104,0.051,0,0.436,0.478
CYP19A1,CYP1B1,9606.ENSP00000379683,9606.ENSP00000478561,0,0,0.249,0.56,0.044,0.052,0.172,0.609,0.739
CYP19A1,ESR1,9606.ENSP00000379683,9606.ENSP00000405330,0,0,0,0,0.042,0.056,0,0.925,0.927
CYP1B1,HSD17B1,9606.ENSP00000478561,9606.ENSP00000225929,0,0,0,0,0.091,0.053,0.911,0.513,0.958
CYP1B1,ESR2,9606.ENSP00000478561,9606.ENSP00000343925,0,0,0,0,0.06,0.056,0,0.514,0.531
CYP1B1,PTGS2,9606.ENSP00000478561,9606.ENSP00000356438,0,0,0,0,0.099,0,0,0.425,0.46
CYP1B1,ESR1,9606.ENSP00000478561,9606.ENSP00000405330,0,0,0,0,0.081,0.056,0,0.628,0.649
CYP1B1,IDO1,9606.ENSP00000478561,9606.ENSP00000430950,0,0,0,0,0.069,0,0.9,0.396,0.938
DNMT1,TERT,9606.ENSP00000352516,9606.ENSP00000309572,0,0,0,0,0.072,0,0,0.514,0.53
DNMT1,GSK3B,9606.ENSP00000352516,9606.ENSP00000324806,0,0.005,0,0,0.103,0.136,0,0.431,0.521
DNMT1,ESR2,9606.ENSP00000352516,9606.ENSP00000343925,0,0,0,0,0,0.095,0,0.62,0.642
DNMT1,MMP9,9606.ENSP00000352516,9606.ENSP00000361405,0,0,0,0,0.048,0,0,0.435,0.439
DNMT1,SRC,9606.ENSP00000352516,9606.ENSP00000362680,0,0,0,0,0.103,0.066,0,0.388,0.443
DNMT1,MTOR,9606.ENSP00000352516,9606.ENSP00000354558,0,0,0,0,0.074,0,0,0.455,0.473
DNMT1,ESR1,9606.ENSP00000352516,9606.ENSP00000405330,0,0,0,0,0,0.091,0,0.605,0.625
ESR1,MMP2,9606.ENSP00000405330,9606.ENSP00000219070,0,0,0,0,0.042,0,0,0.579,0.58
ESR1,SERPINE1,9606.ENSP00000405330,9606.ENSP00000223095,0,0,0,0,0,0.045,0,0.471,0.473
ESR1,HSD17B1,9606.ENSP00000405330,9606.ENSP00000225929,0,0,0,0,0,0,0,0.611,0.611
ESR1,KDR,9606.ENSP00000405330,9606.ENSP00000263923,0,0,0,0,0,0.045,0,0.687,0.688
ESR1,PIK3CA,9606.ENSP00000405330,9606.ENSP00000263967,0,0,0,0,0,0.51,0.4,0.817,0.941
ESR1,KIT,9606.ENSP00000405330,9606.ENSP00000288135,0,0,0,0,0,0.045,0,0.59,0.592
ESR1,PLK1,9606.ENSP00000405330,9606.ENSP00000300093,0,0,0,0,0,0.045,0,0.418,0.42
ESR1,TERT,9606.ENSP00000405330,9606.ENSP00000309572,0,0,0,0,0,0,0,0.553,0.553
ESR1,MET,9606.ENSP00000405330,9606.ENSP00000317272,0,0,0,0,0.111,0.071,0,0.643,0.68
ESR1,MMP1,9606.ENSP00000405330,9606.ENSP00000322788,0,0,0,0,0,0,0,0.41,0.41
ESR1,GSK3B,9606.ENSP00000405330,9606.ENSP00000324806,0,0,0,0,0,0.071,0,0.618,0.629
ESR1,ESR2,9606.ENSP00000405330,9606.ENSP00000343925,0,0,0.062,0.923,0.042,0.83,0.9,0.934,0.998
ESR1,MTOR,9606.ENSP00000405330,9606.ENSP00000354558,0,0,0,0,0,0.292,0,0.655,0.745
ESR1,PTGS1,9606.ENSP00000405330,9606.ENSP00000354612,0,0,0,0,0.047,0,0,0.45,0.453
ESR1,PTGS2,9606.ENSP00000405330,9606.ENSP00000356438,0,0,0,0,0.047,0,0,0.672,0.674
ESR1,MMP9,9606.ENSP00000405330,9606.ENSP00000361405,0,0,0,0,0.074,0,0,0.763,0.772
ESR1,SRC,9606.ENSP00000405330,9606.ENSP00000362680,0,0,0,0,0,0.925,0.9,0.996,0.999
ESR1,XDH,9606.ENSP00000405330,9606.ENSP00000368727,0,0,0,0,0.053,0.091,0,0.433,0.469
ESR1,FGFR1,9606.ENSP00000405330,9606.ENSP00000393312,0,0,0,0,0,0.045,0,0.553,0.555
ESR2,MMP2,9606.ENSP00000343925,9606.ENSP00000219070,0,0,0,0,0,0,0,0.4,0.4
ESR2,HSD17B1,9606.ENSP00000343925,9606.ENSP00000225929,0,0,0,0,0,0,0,0.613,0.613
ESR2,KDR,9606.ENSP00000343925,9606.ENSP00000263923,0,0,0,0,0,0.045,0,0.571,0.573
ESR2,PIK3CA,9606.ENSP00000343925,9606.ENSP00000263967,0,0,0,0,0,0,0.4,0.322,0.575
ESR2,GSK3B,9606.ENSP00000343925,9606.ENSP00000324806,0,0,0,0,0,0.071,0,0.636,0.648
ESR2,MMP9,9606.ENSP00000343925,9606.ENSP00000361405,0,0,0,0,0.074,0,0,0.495,0.512
ESR2,PTGS2,9606.ENSP00000343925,9606.ENSP00000356438,0,0,0,0,0.047,0,0,0.527,0.53
ESR2,SRC,9606.ENSP00000343925,9606.ENSP00000362680,0,0,0,0,0,0.629,0.9,0.889,0.995
FGFR1,MMP2,9606.ENSP00000393312,9606.ENSP00000219070,0,0,0,0,0.112,0,0,0.585,0.616
FGFR1,KDR,9606.ENSP00000393312,9606.ENSP00000263923,0,0,0,0.747,0.068,0.091,0,0.654,0.681
FGFR1,PIK3CA,9606.ENSP00000393312,9606.ENSP00000263967,0,0,0,0,0,0.087,0.9,0.777,0.977
FGFR1,TERT,9606.ENSP00000393312,9606.ENSP00000309572,0,0,0,0,0,0,0,0.507,0.507
